Time: 34.45638; Position: (0.3, 0.0, 1.1); Rotation: (0.3, 0.6, -0.2, 0.7)
Time: 34.97293; Position: (0.4, 0.0, 1.2); Rotation: (0.2, 0.6, -0.3, 0.7)
Time: 35.48952; Position: (0.5, 0.0, 1.3); Rotation: (0.2, 0.7, -0.3, 0.6)
Time: 35.9896; Position: (0.5, 0.0, 1.5); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 36.48999; Position: (0.4, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 37.00666; Position: (0.4, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 37.52299; Position: (0.5, 0.0, 1.6); Rotation: (0.2, 0.8, -0.4, 0.5)
Time: 38.03968; Position: (0.8, -0.1, 1.5); Rotation: (0.2, 0.8, -0.4, 0.4)
Time: 38.53984; Position: (0.9, -0.1, 1.5); Rotation: (0.2, 0.8, -0.5, 0.4)
Time: 39.04028; Position: (0.9, -0.1, 1.5); Rotation: (0.2, 0.8, -0.5, 0.4)
Time: 39.5566; Position: (0.9, -0.1, 1.6); Rotation: (0.2, 0.8, -0.4, 0.4)
Time: 40.07349; Position: (0.9, 0.0, 1.6); Rotation: (0.2, 0.7, -0.3, 0.6)
Time: 40.58985; Position: (0.8, 0.0, 1.6); Rotation: (0.2, 0.7, -0.3, 0.6)
Time: 41.10678; Position: (0.8, 0.0, 1.6); Rotation: (0.2, 0.8, -0.4, 0.4)
Time: 41.62313; Position: (0.7, 0.0, 1.6); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 42.14042; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 42.65657; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.3, 0.5)
Time: 43.15691; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.5)
Time: 43.67341; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 44.1735; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 44.67767; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 45.19031; Position: (0.7, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 45.70686; Position: (0.6, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 46.22335; Position: (0.5, 0.0, 1.5); Rotation: (0.2, 0.7, -0.4, 0.5)
Time: 46.73986; Position: (0.3, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 47.25658; Position: (0.2, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 47.75679; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 48.27304; Position: (0.2, 0.0, 1.6); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 48.77347; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.6)
Time: 49.28994; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 49.79025; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.7, -0.2, 0.7)
Time: 50.3061; Position: (0.2, 0.0, 1.7); Rotation: (0.1, 0.9, -0.2, 0.4)
Time: 50.80671; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 51.32283; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 51.83984; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 52.34017; Position: (0.2, 0.0, 1.7); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 52.85658; Position: (0.2, 0.0, 1.7); Rotation: (0.1, 0.8, -0.3, 0.6)
Time: 53.35668; Position: (0.3, 0.0, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 53.87312; Position: (0.6, -0.1, 1.6); Rotation: (0.2, 0.8, -0.4, 0.4)
Time: 54.39005; Position: (0.9, -0.1, 1.6); Rotation: (0.2, 0.8, -0.5, 0.4)
Time: 54.90707; Position: (1.1, -0.1, 1.5); Rotation: (0.3, 0.7, -0.5, 0.4)
Time: 55.42273; Position: (1.1, -0.1, 1.4); Rotation: (0.3, 0.7, -0.5, 0.4)
Time: 55.92294; Position: (1.1, -0.1, 1.3); Rotation: (0.3, 0.7, -0.5, 0.4)
Time: 56.42308; Position: (1.1, -0.1, 1.4); Rotation: (0.3, 0.7, -0.5, 0.4)
Time: 56.92335; Position: (1.1, -0.1, 1.4); Rotation: (0.4, 0.6, -0.4, 0.6)
Time: 57.43998; Position: (0.9, -0.1, 1.3); Rotation: (0.5, 0.5, -0.3, 0.7)
Time: 57.95599; Position: (0.8, -0.1, 1.2); Rotation: (0.4, 0.5, -0.2, 0.7)
Time: 58.45633; Position: (0.9, -0.1, 1.1); Rotation: (0.5, 0.4, -0.2, 0.8)
Time: 58.95655; Position: (0.9, -0.1, 1.0); Rotation: (0.4, 0.4, -0.2, 0.8)
Time: 59.45686; Position: (0.9, -0.1, 1.0); Rotation: (0.4, 0.4, -0.2, 0.8)
Time: 59.97331; Position: (0.8, 0.0, 0.9); Rotation: (0.3, 0.5, -0.3, 0.8)
Time: 60.47337; Position: (0.5, 0.0, 1.0); Rotation: (0.3, 0.6, -0.2, 0.7)
Time: 60.98996; Position: (0.6, -0.1, 1.1); Rotation: (0.3, 0.6, -0.3, 0.7)
Time: 61.49026; Position: (0.6, -0.1, 1.2); Rotation: (0.2, 0.7, -0.4, 0.6)
Time: 62.00668; Position: (0.6, 0.0, 1.5); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 62.52298; Position: (0.5, -0.1, 1.7); Rotation: (0.1, 0.8, -0.4, 0.4)
Time: 63.02318; Position: (0.4, 0.0, 1.9); Rotation: (0.0, 0.9, -0.4, 0.3)
Time: 63.53965; Position: (0.7, 0.0, 2.2); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 64.04022; Position: (0.7, 0.0, 2.3); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 64.55626; Position: (0.7, 0.0, 2.3); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 65.0566; Position: (0.7, 0.0, 2.3); Rotation: (0.0, 1.0, -0.2, 0.1)
Time: 65.57302; Position: (0.6, 0.0, 2.3); Rotation: (-0.1, 1.0, -0.2, -0.2)
Time: 66.07346; Position: (0.5, 0.0, 2.3); Rotation: (-0.1, 1.0, -0.1, -0.2)
Time: 66.57417; Position: (0.4, 0.0, 2.3); Rotation: (-0.2, 1.0, -0.1, -0.2)
Time: 67.09003; Position: (0.2, 0.0, 2.3); Rotation: (0.2, -0.8, 0.1, 0.6)
Time: 67.59064; Position: (0.1, 0.0, 2.0); Rotation: (0.2, -0.7, 0.1, 0.7)
Time: 68.10651; Position: (0.1, 0.0, 2.0); Rotation: (0.2, -0.6, 0.1, 0.8)
Time: 68.62276; Position: (0.1, 0.0, 2.0); Rotation: (0.2, -0.6, 0.1, 0.8)
Time: 69.13997; Position: (0.1, 0.0, 2.0); Rotation: (0.3, -0.6, 0.1, 0.8)
