Time: 33.59412; Position: (-0.1, 0.0, -0.5); Rotation: (0.2, 0.1, 0.0, 1.0)
Time: 34.11039; Position: (0.0, 0.0, -0.3); Rotation: (0.2, 0.2, -0.1, 1.0)
Time: 34.62648; Position: (0.2, 0.0, -0.1); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 35.14277; Position: (0.2, 0.0, -0.1); Rotation: (0.3, 0.2, -0.1, 0.9)
Time: 35.64325; Position: (0.2, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 36.15997; Position: (0.2, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 36.66011; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 37.16021; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 37.67689; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 38.17719; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 38.69354; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 39.21089; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 39.72704; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 40.24349; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 40.74408; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 41.24505; Position: (0.1, 0.0, -0.1); Rotation: (0.1, 0.0, -0.1, 1.0)
Time: 41.76132; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.0, -0.1, 1.0)
Time: 42.27702; Position: (0.1, 0.0, -0.1); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 42.77716; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 43.29288; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 43.80959; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 44.31228; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 44.82664; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 45.32968; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 45.84534; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 46.35948; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 46.85948; Position: (0.1, 0.0, -0.1); Rotation: (0.3, 0.1, -0.1, 1.0)
Time: 47.36042; Position: (0.0, 0.0, -0.3); Rotation: (0.2, 0.1, -0.1, 1.0)
Time: 47.86058; Position: (0.0, 0.1, -0.5); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 48.37689; Position: (0.0, 0.1, -0.6); Rotation: (0.1, 0.0, 0.0, 1.0)
Time: 48.87752; Position: (0.0, 0.1, -0.6); Rotation: (0.0, -0.1, 0.0, 1.0)
Time: 49.39361; Position: (0.0, 0.0, -0.5); Rotation: (0.2, 0.1, 0.0, 1.0)
Time: 49.89362; Position: (0.0, 0.0, -0.5); Rotation: (0.2, 0.1, 0.0, 1.0)
