Time: 34.38995; Position: (2.2, 0.1, 0.4); Rotation: (0.0, 0.8, -0.1, 0.6)
Time: 34.89032; Position: (2.3, 0.1, 0.5); Rotation: (0.0, 0.7, -0.1, 0.7)
Time: 35.40654; Position: (2.3, 0.0, 0.4); Rotation: (0.1, 0.8, -0.1, 0.6)
Time: 35.90664; Position: (2.3, 0.0, 0.4); Rotation: (0.1, 0.9, -0.2, 0.5)
Time: 36.40694; Position: (2.2, 0.1, 0.4); Rotation: (0.0, 0.9, -0.1, 0.5)
Time: 36.92333; Position: (2.2, 0.1, 0.4); Rotation: (0.0, 0.9, 0.0, 0.5)
Time: 37.42339; Position: (2.2, 0.1, 0.4); Rotation: (0.0, 0.9, -0.1, 0.5)
Time: 37.93971; Position: (2.3, 0.0, 0.4); Rotation: (0.1, 0.9, -0.1, 0.5)
Time: 38.44063; Position: (2.3, 0.0, 0.4); Rotation: (0.2, 0.8, -0.3, 0.5)
Time: 38.95658; Position: (2.3, 0.0, 0.4); Rotation: (0.2, 0.8, -0.4, 0.4)
Time: 39.47312; Position: (2.3, 0.0, 0.4); Rotation: (0.1, 0.9, -0.3, 0.3)
Time: 39.97515; Position: (2.2, 0.0, 0.1); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 40.49019; Position: (2.3, 0.0, -0.1); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 41.00755; Position: (2.4, 0.0, -0.2); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 41.52271; Position: (2.4, 0.0, -0.2); Rotation: (0.0, 0.9, -0.3, 0.2)
Time: 42.02344; Position: (2.4, 0.0, -0.2); Rotation: (0.0, 0.9, -0.3, 0.1)
Time: 42.53963; Position: (2.3, 0.0, -0.2); Rotation: (0.0, 0.9, -0.3, 0.0)
Time: 43.04052; Position: (2.1, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.4, -0.1)
Time: 43.55584; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.4, 0.0)
Time: 44.05836; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 44.57255; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 45.07286; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 45.57288; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 46.0729; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 46.57293; Position: (1.9, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, 0.0)
Time: 47.07328; Position: (2.0, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 47.58946; Position: (2.1, 0.0, 0.0); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 48.0904; Position: (2.1, 0.0, 0.0); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 48.60585; Position: (2.0, 0.0, 0.0); Rotation: (-0.1, 0.9, -0.4, -0.2)
Time: 49.10644; Position: (1.7, 0.0, 0.0); Rotation: (-0.1, 0.9, -0.3, -0.3)
Time: 49.6233; Position: (1.5, 0.0, -0.1); Rotation: (-0.1, 0.9, -0.4, -0.3)
Time: 50.12331; Position: (1.3, 0.0, -0.2); Rotation: (-0.2, 0.8, -0.3, -0.4)
Time: 50.63926; Position: (1.0, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.3)
Time: 51.14001; Position: (0.7, 0.0, -0.2); Rotation: (-0.1, 0.9, -0.3, -0.4)
Time: 51.65593; Position: (0.5, 0.0, -0.4); Rotation: (-0.1, 0.9, -0.3, -0.4)
Time: 52.15637; Position: (0.2, 0.0, -0.4); Rotation: (-0.1, 0.9, -0.3, -0.2)
Time: 52.67248; Position: (0.1, 0.0, -0.3); Rotation: (-0.1, 0.9, -0.3, -0.1)
Time: 53.1729; Position: (0.2, 0.0, -0.1); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 53.6729; Position: (0.3, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, 0.0)
Time: 54.17451; Position: (0.2, 0.0, 0.1); Rotation: (0.0, 0.9, -0.4, -0.2)
Time: 54.68959; Position: (0.2, 0.0, 0.1); Rotation: (0.1, -0.8, 0.3, 0.6)
Time: 55.19036; Position: (0.2, 0.0, 0.1); Rotation: (-0.1, 0.8, -0.3, -0.5)
Time: 55.70727; Position: (0.1, 0.0, 0.1); Rotation: (-0.1, 0.8, -0.3, -0.5)
Time: 56.22292; Position: (-0.1, 0.0, 0.3); Rotation: (0.3, -0.7, 0.3, 0.6)
Time: 56.73985; Position: (-0.1, 0.0, 0.3); Rotation: (0.4, -0.6, 0.3, 0.7)
Time: 57.23987; Position: (-0.1, 0.0, 0.2); Rotation: (0.4, -0.6, 0.3, 0.7)
Time: 57.74007; Position: (-0.1, 0.0, 0.2); Rotation: (0.4, -0.6, 0.3, 0.7)
Time: 58.24033; Position: (0.0, 0.0, 0.2); Rotation: (0.3, -0.4, 0.2, 0.9)
Time: 58.74033; Position: (0.0, 0.0, 0.3); Rotation: (0.3, -0.2, 0.1, 0.9)
Time: 59.25632; Position: (0.0, 0.0, 0.4); Rotation: (0.3, 0.0, 0.0, 0.9)
Time: 59.75645; Position: (-0.1, 0.0, 0.3); Rotation: (0.2, 0.4, -0.1, 0.9)
Time: 60.25684; Position: (0.1, 0.0, 0.2); Rotation: (0.2, 0.5, -0.1, 0.9)
Time: 60.7736; Position: (0.3, 0.0, 0.1); Rotation: (0.1, 0.6, -0.1, 0.8)
Time: 61.28983; Position: (0.4, 0.0, 0.2); Rotation: (0.1, 0.9, -0.2, 0.5)
Time: 61.80695; Position: (0.4, 0.0, 0.2); Rotation: (0.0, 0.9, -0.2, 0.2)
Time: 62.30696; Position: (0.3, 0.0, 0.3); Rotation: (0.0, 1.0, -0.2, -0.1)
Time: 62.82312; Position: (0.4, 0.0, 0.3); Rotation: (0.0, 0.9, -0.2, 0.4)
Time: 63.32576; Position: (0.4, 0.0, 0.3); Rotation: (0.1, 0.6, -0.1, 0.8)
Time: 63.84; Position: (0.3, 0.1, 0.1); Rotation: (0.0, 0.7, -0.1, 0.7)
Time: 64.34048; Position: (0.3, 0.1, 0.0); Rotation: (0.0, 0.6, 0.0, 0.8)
Time: 64.85699; Position: (0.1, 0.1, 0.0); Rotation: (0.0, 0.3, -0.1, 1.0)
Time: 65.35712; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.2, 0.0, 1.0)
Time: 65.87331; Position: (0.0, 0.1, -0.1); Rotation: (0.0, 0.2, 0.0, 1.0)
Time: 66.37368; Position: (0.1, 0.1, -0.2); Rotation: (0.0, 0.6, 0.0, 0.8)
Time: 66.88997; Position: (0.1, 0.1, -0.2); Rotation: (0.0, 0.9, -0.1, 0.4)
Time: 67.40627; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.0, 0.2)
Time: 67.90672; Position: (0.1, 0.1, -0.4); Rotation: (0.0, 1.0, 0.1, 0.1)
Time: 68.42302; Position: (0.1, 0.1, -0.4); Rotation: (0.0, 1.0, 0.1, 0.0)
Time: 68.92321; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.1, 0.0)
Time: 69.42353; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.1, 0.0)
Time: 69.93992; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.1, 0.0)
Time: 70.44059; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.1, 0.0)
Time: 70.95632; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.0, 0.1)
Time: 71.47392; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.0, 0.1)
Time: 71.98975; Position: (0.1, 0.1, -0.3); Rotation: (0.0, 1.0, 0.0, 0.0)
Time: 72.4898; Position: (0.1, 0.1, -0.4); Rotation: (0.0, 1.0, 0.0, 0.1)
Time: 73.00641; Position: (0.1, 0.1, -0.4); Rotation: (0.0, 1.0, 0.0, 0.1)
Time: 73.51433; Position: (0.1, 0.1, -0.4); Rotation: (0.0, 1.0, 0.0, 0.1)
Time: 74.02294; Position: (0.2, 0.1, -0.4); Rotation: (0.0, 1.0, -0.1, 0.2)
Time: 74.53986; Position: (0.2, 0.1, -0.4); Rotation: (0.0, 1.0, 0.0, 0.3)
Time: 75.03999; Position: (0.2, 0.1, -0.4); Rotation: (0.0, 1.0, 0.0, 0.3)
Time: 75.55611; Position: (0.2, 0.1, -0.5); Rotation: (0.0, 0.9, 0.0, 0.3)
Time: 76.05688; Position: (0.4, 0.1, -0.5); Rotation: (-0.1, 0.9, 0.1, 0.3)
Time: 76.57257; Position: (0.5, 0.1, -0.6); Rotation: (-0.1, 1.0, 0.1, 0.3)
Time: 77.07294; Position: (0.5, 0.1, -0.6); Rotation: (-0.1, 1.0, 0.1, 0.3)
Time: 77.58976; Position: (0.6, 0.1, -0.6); Rotation: (0.0, 0.9, 0.0, 0.3)
Time: 78.09015; Position: (0.6, 0.0, -0.6); Rotation: (0.0, 0.9, -0.1, 0.4)
Time: 78.59116; Position: (0.5, 0.0, -0.5); Rotation: (0.0, 0.9, -0.1, 0.4)
Time: 79.09258; Position: (0.4, 0.1, -0.5); Rotation: (-0.1, 0.9, 0.0, 0.5)
